Tanggal,Tahun,Bulan,Bandara Lainnya,Juanda-Surabaya,Kualanamu-Medan,Ngurah Rai-Bali,Soekarno Hatta-Jakarta
2022-01-01,2022,Januari,834,390,34,755,168087
2022-02-01,2022,Februari,1550,227,15,3098,187540
2022-03-01,2022,Maret,1868,5171,41,30557,322999
2022-04-01,2022,April,3229,35324,4181,114685,423791
2022-05-01,2022,Mei,13149,64412,32388,238254,578735
2022-06-01,2022,Juni,54278,74334,46572,365342,565370
2022-07-01,2022,Juli,38130,67417,71681,519563,609604
2022-08-01,2022,Agustus,59497,100882,106921,590458,712337
2022-09-01,2022,September,54111,138505,123078,624763,821305
2022-10-01,2022,Oktober,74103,150890,137085,669586,889925
2022-11-01,2022,November,79769,150281,131644,635179,859742
2022-12-01,2022,Desember,99028,158362,164920,783951,936726
2023-01-01,2023,Januari,126226,164033,163171,811214,937011
2023-02-01,2023,Februari,138921,162343,148630,725215,944075
2023-03-01,2023,Maret,151826,170756,155456,808666,1072114
2023-04-01,2023,April,136926,137110,145093,887569,910538
2023-05-01,2023,Mei,174777,155581,144212,947044,1077471
2023-06-01,2023,Juni,229296,161879,161740,1017561,1068775
2023-07-01,2023,Juli,258938,184542,168350,1150770,1175883
2023-08-01,2023,Agustus,220093,185006,153054,1132137,1210425
2023-09-01,2023,September,210152,192988,148122,1084581,1175375
2023-10-01,2023,Oktober,203576,203131,153679,1049667,1244640
2023-11-01,2023,November,212275,190220,151692,907570,1215801
2023-12-01,2023,Desember,217359,198037,175667,1013324,1310592
2024-01-01,2024,Januari,228345,202184,186052,1018138,1309750
2024-02-01,2024,Februari,226271,195598,184714,1001920,1230887
2024-03-01,2024,Maret,187487,193025,163154,1001814,1236146
2024-04-01,2024,April,206251,194219,199526,1110845,1323194
2024-05-01,2024,Mei,266127,175044,175311,1193156,1272665
2024-06-01,2024,Juni,246726,152540,192449,1237960,1301879
2024-07-01,2024,Juli,278073,194263,195078,1341459,1445508
2024-08-01,2024,Agustus,238841,220482,181050,1343841,1485792
2024-09-01,2024,September,233552,208286,191337,1294606,1459184
2024-10-01,2024,Oktober,233283,194529,182854,1266989,1440524
2024-11-01,2024,November,226745,190478,182091,1092528,1436811
2024-12-01,2024,Desember,1681013,199219,220533,1183629,1572077
2025-01-01,2025,Januari,277397,206446,237621,1229152,1612855
2025-02-01,2025,Februari,259751,189561,210666,1022859,1438188
2025-03-01,2025,Maret,194204,178627,168959,1044554,1231437
2025-04-01,2025,April,247337,188642,204324,1266346,1472521
2025-05-01,2025,Mei,309159,168542,188455,1313397,1350877
2025-06-01,2025,Juni,276847,194238,198648,1366670,1375897
2025-07-01,2025,Juli,322851,219578,214485,1465380,1596309
2025-08-01,2025,Agustus,301005,216438,201847,1472894,1571421
2025-09-01,2025,September,286770,208762,191886,1362490,1464216
2025-10-01,2025,Oktober,285994,200969,180679,1337202,1512593
2025-11-01,2025,November,290816,182898,185058,1103226,1519152
2025-12-01,2025,Desember,306183,213504,209950,1200990,1647660
